@relation fruit_classification_rigorous

@attribute weight numeric
@attribute roundness numeric
@attribute redness numeric
@attribute yellowness numeric
@attribute class {Apple, Banana, Orange}

@data
% --- 200 APPLES (Includes Red, Green, and Yellow varieties) ---
150, 9, 8, 2, Apple
145, 8, 2, 7, Apple
165, 9, 9, 3, Apple
135, 8, 7, 2, Apple
155, 7, 8, 4, Apple
160, 9, 3, 8, Apple
148, 8, 8, 2, Apple
152, 9, 9, 3, Apple
140, 7, 2, 6, Apple
158, 8, 8, 4, Apple
149, 10, 7, 2, Apple
162, 9, 2, 7, Apple
151, 8, 9, 2, Apple
138, 7, 8, 3, Apple
154, 9, 8, 2, Apple
159, 8, 3, 8, Apple
147, 9, 7, 3, Apple
153, 8, 8, 2, Apple
142, 7, 1, 7, Apple
156, 9, 9, 3, Apple
150, 8, 8, 2, Apple
146, 9, 2, 8, Apple
164, 8, 9, 2, Apple
136, 9, 7, 3, Apple
155, 8, 8, 4, Apple
161, 7, 3, 7, Apple
148, 9, 8, 2, Apple
152, 8, 9, 3, Apple
141, 9, 2, 6, Apple
157, 8, 8, 4, Apple
149, 9, 7, 2, Apple
163, 8, 2, 8, Apple
151, 9, 9, 2, Apple
139, 8, 8, 3, Apple
154, 7, 8, 2, Apple
158, 9, 3, 7, Apple
147, 8, 7, 3, Apple
153, 9, 8, 2, Apple
143, 8, 1, 8, Apple
156, 8, 9, 3, Apple
150, 9, 8, 3, Apple
145, 8, 3, 7, Apple
165, 9, 8, 2, Apple
135, 8, 6, 2, Apple
155, 7, 9, 4, Apple
160, 9, 2, 8, Apple
148, 8, 7, 2, Apple
152, 9, 8, 3, Apple
140, 7, 3, 6, Apple
158, 8, 9, 4, Apple
149, 10, 8, 2, Apple
162, 9, 1, 7, Apple
151, 8, 8, 2, Apple
138, 7, 9, 3, Apple
154, 9, 7, 2, Apple
159, 8, 2, 8, Apple
147, 9, 8, 3, Apple
153, 8, 7, 2, Apple
142, 7, 2, 7, Apple
156, 9, 8, 3, Apple
150, 8, 9, 2, Apple
146, 9, 3, 8, Apple
164, 8, 8, 2, Apple
136, 9, 6, 3, Apple
155, 8, 9, 4, Apple
161, 7, 2, 7, Apple
148, 9, 7, 2, Apple
152, 8, 8, 3, Apple
141, 9, 3, 6, Apple
157, 8, 9, 4, Apple
149, 9, 8, 2, Apple
163, 8, 1, 8, Apple
151, 9, 8, 2, Apple
139, 8, 9, 3, Apple
154, 7, 7, 2, Apple
158, 9, 2, 7, Apple
147, 8, 8, 3, Apple
153, 9, 7, 2, Apple
143, 8, 2, 8, Apple
156, 8, 8, 3, Apple
150, 9, 7, 2, Apple
145, 8, 2, 8, Apple
165, 9, 9, 3, Apple
135, 8, 8, 2, Apple
155, 7, 7, 4, Apple
160, 9, 3, 7, Apple
148, 8, 9, 2, Apple
152, 9, 8, 3, Apple
140, 7, 2, 7, Apple
158, 8, 8, 4, Apple
149, 10, 7, 2, Apple
162, 9, 3, 8, Apple
151, 8, 8, 2, Apple
138, 7, 7, 3, Apple
154, 9, 9, 2, Apple
159, 8, 2, 7, Apple
147, 9, 8, 3, Apple
153, 8, 7, 2, Apple
142, 7, 3, 8, Apple
156, 9, 8, 3, Apple
150, 8, 8, 2, Apple
146, 9, 2, 7, Apple
164, 8, 9, 3, Apple
136, 9, 7, 2, Apple
155, 8, 8, 4, Apple
161, 7, 3, 8, Apple
148, 9, 7, 2, Apple
152, 8, 8, 3, Apple
141, 9, 2, 7, Apple
157, 8, 9, 4, Apple
149, 9, 8, 2, Apple
163, 8, 3, 7, Apple
151, 9, 7, 2, Apple
139, 8, 8, 3, Apple
154, 7, 9, 2, Apple
158, 9, 2, 8, Apple
147, 8, 7, 3, Apple
153, 9, 8, 2, Apple
143, 8, 3, 7, Apple
156, 8, 8, 3, Apple
149, 8, 8, 3, Apple
144, 9, 2, 7, Apple
166, 8, 8, 2, Apple
134, 9, 7, 3, Apple
156, 8, 8, 4, Apple
161, 8, 3, 7, Apple
147, 9, 8, 2, Apple
153, 8, 9, 3, Apple
141, 8, 2, 6, Apple
159, 9, 8, 4, Apple
148, 9, 7, 2, Apple
163, 8, 2, 8, Apple
152, 9, 9, 2, Apple
137, 8, 8, 3, Apple
155, 8, 8, 2, Apple
160, 9, 3, 8, Apple
146, 8, 7, 3, Apple
154, 9, 8, 2, Apple
142, 8, 1, 7, Apple
157, 9, 9, 3, Apple
150, 8, 8, 2, Apple
146, 9, 2, 8, Apple
164, 8, 9, 2, Apple
136, 9, 7, 3, Apple
155, 8, 8, 4, Apple
161, 7, 3, 7, Apple
148, 9, 8, 2, Apple
152, 8, 9, 3, Apple
141, 9, 2, 6, Apple
157, 8, 8, 4, Apple
149, 9, 7, 2, Apple
163, 8, 2, 8, Apple
151, 9, 9, 2, Apple
139, 8, 8, 3, Apple
154, 7, 8, 2, Apple
158, 9, 3, 7, Apple
147, 8, 7, 3, Apple
153, 9, 8, 2, Apple
143, 8, 1, 8, Apple
156, 8, 9, 3, Apple
150, 9, 8, 3, Apple
145, 8, 3, 7, Apple
165, 9, 8, 2, Apple
135, 8, 6, 2, Apple
155, 7, 9, 4, Apple
160, 9, 2, 8, Apple
148, 8, 7, 2, Apple
152, 9, 8, 3, Apple
140, 7, 3, 6, Apple
158, 8, 9, 4, Apple
149, 10, 8, 2, Apple
162, 9, 1, 7, Apple
151, 8, 8, 2, Apple
138, 7, 9, 3, Apple
154, 9, 7, 2, Apple
159, 8, 2, 8, Apple
147, 9, 8, 3, Apple
153, 8, 7, 2, Apple
142, 7, 2, 7, Apple
156, 9, 8, 3, Apple
150, 8, 9, 2, Apple
146, 9, 3, 8, Apple
164, 8, 8, 2, Apple
136, 9, 6, 3, Apple
155, 8, 9, 4, Apple
161, 7, 2, 7, Apple
148, 9, 7, 2, Apple
152, 8, 8, 3, Apple
141, 9, 3, 6, Apple
157, 8, 9, 4, Apple
