@relation fruit_classification

@attribute weight numeric
@attribute roundness numeric
@attribute redness numeric
@attribute yellowness numeric
@attribute class {Apple, Banana, Orange}

@data
% --- 100 APPLES ---
150, 9, 8, 2, Apple
152, 8, 7, 3, Apple
148, 10, 9, 2, Apple
155, 9, 8, 1, Apple
145, 8, 8, 3, Apple
151, 9, 9, 2, Apple
149, 8, 7, 4, Apple
153, 10, 8, 2, Apple
147, 9, 9, 1, Apple
154, 8, 8, 3, Apple
150, 9, 8, 2, Apple
156, 8, 7, 3, Apple
144, 10, 9, 2, Apple
157, 9, 8, 1, Apple
143, 8, 8, 3, Apple
152, 9, 9, 2, Apple
148, 8, 7, 4, Apple
155, 10, 8, 2, Apple
145, 9, 9, 1, Apple
158, 8, 8, 3, Apple
151, 9, 8, 2, Apple
149, 8, 7, 3, Apple
153, 10, 9, 2, Apple
147, 9, 8, 1, Apple
154, 8, 8, 3, Apple
150, 9, 9, 2, Apple
156, 8, 7, 4, Apple
144, 10, 8, 2, Apple
157, 9, 9, 1, Apple
143, 8, 8, 3, Apple
152, 9, 8, 2, Apple
148, 8, 7, 3, Apple
155, 10, 9, 2, Apple
145, 9, 8, 1, Apple
158, 8, 8, 3, Apple
151, 9, 9, 2, Apple
149, 8, 7, 4, Apple
153, 10, 8, 2, Apple
147, 9, 9, 1, Apple
154, 8, 8, 3, Apple
150, 9, 8, 2, Apple
156, 8, 7, 3, Apple
144, 10, 9, 2, Apple
157, 9, 8, 1, Apple
143, 8, 8, 3, Apple
152, 9, 9, 2, Apple
148, 8, 7, 4, Apple
155, 10, 8, 2, Apple
145, 9, 9, 1, Apple
158, 8, 8, 3, Apple
149, 9, 8, 2, Apple
151, 8, 7, 3, Apple
153, 10, 9, 2, Apple
147, 9, 8, 1, Apple
154, 8, 8, 3, Apple
150, 9, 9, 2, Apple
156, 8, 7, 4, Apple
144, 10, 8, 2, Apple
157, 9, 9, 1, Apple
143, 8, 8, 3, Apple
148, 9, 8, 2, Apple
152, 8, 7, 3, Apple
155, 10, 9, 2, Apple
145, 9, 8, 1, Apple
158, 8, 8, 3, Apple
151, 9, 9, 2, Apple
149, 8, 7, 4, Apple
153, 10, 8, 2, Apple
147, 9, 9, 1, Apple
154, 8, 8, 3, Apple
150, 9, 8, 2, Apple
156, 8, 7, 3, Apple
144, 10, 9, 2, Apple
157, 9, 8, 1, Apple
143, 8, 8, 3, Apple
152, 9, 9, 2, Apple
148, 8, 7, 4, Apple
155, 10, 8, 2, Apple
145, 9, 9, 1, Apple
158, 8, 8, 3, Apple
149, 9, 8, 2, Apple
151, 8, 7, 3, Apple
153, 10, 9, 2, Apple
147, 9, 8, 1, Apple
154, 8, 8, 3, Apple
150, 9, 9, 2, Apple
156, 8, 7, 4, Apple
144, 10, 8, 2, Apple
157, 9, 9, 1, Apple
143, 8, 8, 3, Apple
148, 9, 8, 2, Apple
152, 8, 7, 3, Apple
155, 10, 9, 2, Apple
145, 9, 8, 1, Apple
158, 8, 8, 3, Apple
151, 9, 9, 2, Apple
149, 8, 7, 4, Apple
153, 10, 8, 2, Apple
147, 9, 9, 1, Apple
154, 8, 8, 3, Apple

% --- 100 BANANAS ---
120, 2, 1, 9, Banana
122, 1, 2, 8, Banana
118, 3, 1, 10, Banana
125, 2, 1, 9, Banana
115, 1, 2, 8, Banana
121, 2, 1, 10, Banana
119, 1, 2, 9, Banana
123, 3, 1, 8, Banana
117, 2, 1, 9, Banana
124, 1, 2, 10, Banana
120, 2, 1, 8, Banana
126, 1, 2, 9, Banana
114, 3, 1, 10, Banana
127, 2, 1, 8, Banana
113, 1, 2, 9, Banana
122, 2, 1, 10, Banana
118, 1, 2, 8, Banana
125, 3, 1, 9, Banana
115, 2, 1, 10, Banana
128, 1, 2, 8, Banana
121, 2, 1, 9, Banana
119, 1, 2, 8, Banana
123, 3, 1, 10, Banana
117, 2, 1, 9, Banana
124, 1, 2, 8, Banana
120, 2, 1, 10, Banana
126, 1, 2, 9, Banana
114, 3, 1, 8, Banana
127, 2, 1, 10, Banana
113, 1, 2, 9, Banana
122, 2, 1, 8, Banana
118, 1, 2, 9, Banana
125, 3, 1, 10, Banana
115, 2, 1, 8, Banana
128, 1, 2, 9, Banana
121, 2, 1, 10, Banana
119, 1, 2, 8, Banana
123, 3, 1, 9, Banana
117, 2, 1, 10, Banana
124, 1, 2, 8, Banana
120, 2, 1, 9, Banana
126, 1, 2, 8, Banana
114, 3, 1, 10, Banana
127, 2, 1, 9, Banana
113, 1, 2, 8, Banana
122, 2, 1, 10, Banana
118, 1, 2, 9, Banana
125, 3, 1, 8, Banana
115, 2, 1, 10, Banana
128, 1, 2, 9, Banana
119, 2, 1, 8, Banana
121, 1, 2, 9, Banana
123, 3, 1, 10, Banana
117, 2, 1, 8, Banana
124, 1, 2, 9, Banana
120, 2, 1, 10, Banana
126, 1, 2, 8, Banana
114, 3, 1, 9, Banana
127, 2, 1, 10, Banana
113, 1, 2, 8, Banana
118, 2, 1, 9, Banana
122, 1, 2, 8, Banana
125, 3, 1, 10, Banana
