Age,Salary,Experience,Study_Hours,Score,Class_Label
56,146108,5,9.72,100.0,High
46,34382,13,3.0,53.6,Medium
32,104291,17,3.08,61.62,Medium
25,121195,11,4.99,65.9,Medium
38,154828,10,9.85,100.0,High
56,40609,12,3.06,47.23,Low
36,167550,20,4.37,75.03,High
40,190738,10,8.97,95.66,High
28,95683,15,0.53,34.46,Low
28,144714,14,0.88,30.02,Low
41,150330,20,6.24,90.32,High
53,91315,14,9.12,99.55,High
57,97834,3,2.77,32.02,Low
41,146205,10,4.96,63.61,Medium
20,34153,18,4.78,70.31,Medium
39,96325,14,4.99,67.53,Medium
19,164071,3,6.41,68.47,Medium
41,75318,20,4.96,76.66,High
47,151886,12,4.75,68.36,Medium
55,135033,18,5.01,73.36,Medium
19,96077,1,6.11,63.37,Medium
38,110474,13,5.6,81.4,High
50,153515,3,8.61,90.42,High
29,93319,15,0.97,33.98,Low
39,145885,20,8.42,100.0,High
42,129777,19,8.52,100.0,High
44,37368,13,3.21,51.26,Medium
59,166400,14,4.9,67.14,Medium
45,111751,2,4.67,50.46,Medium
33,47306,7,2.58,34.88,Low
32,190987,15,4.27,72.93,Medium
20,57219,9,0.92,26.76,Low
54,80279,3,3.14,28.64,Low
24,73028,17,8.26,100.0,High
38,124263,1,3.2,32.85,Low
26,20126,16,8.27,100.0,High
56,72329,12,5.55,72.58,Medium
35,47632,3,8.86,96.36,High
21,129945,10,5.96,76.18,High
42,75176,6,0.78,18.33,Low
31,195399,11,6.92,92.93,High
26,154869,9,0.93,15.86,Low
43,198954,6,4.78,57.32,Medium
19,164790,12,9.33,100.0,High
37,54560,6,2.07,36.88,Low
45,96589,16,4.2,54.95,Medium
24,42116,9,7.43,76.97,High
25,187316,9,8.88,100.0,High
52,152717,3,6.87,78.83,High
31,198595,19,2.95,61.87,Medium
34,144085,3,6.91,69.6,Medium
53,137718,6,3.32,49.73,Low
57,39256,0,7.33,67.14,Medium
21,120158,11,9.56,100.0,High
19,188502,12,7.35,86.0,High
23,190354,9,8.7,98.74,High
59,139719,14,0.52,29.4,Low
21,88244,12,7.32,83.87,High
46,162766,20,8.38,100.0,High
35,76264,8,0.89,19.11,Low
43,77545,8,8.78,100.0,High
51,59224,14,2.94,56.21,Medium
27,117945,9,6.82,77.73,High
53,33224,9,8.1,99.8,High
31,60738,7,6.8,86.7,High
48,176222,15,1.38,33.02,Low
32,83731,16,6.17,92.55,High
25,159649,4,5.72,54.4,Medium
31,28070,3,9.05,96.95,High
40,146161,17,4.34,62.76,Medium
57,28666,18,3.55,67.21,Medium
38,77761,3,7.62,85.0,High
33,56368,6,4.42,63.59,Medium
35,157855,9,6.64,87.01,High
41,61914,17,6.64,91.07,High
43,147738,18,8.94,100.0,High
42,87526,3,6.19,69.23,Medium
58,196837,9,5.27,65.9,Medium
46,39956,0,1.82,25.96,Low
32,66240,17,1.6,30.67,Low
18,141008,4,1.97,36.64,Low
42,188220,14,2.13,44.96,Low
24,114270,16,6.56,85.53,High
26,24757,2,7.54,82.07,High
41,39097,11,5.53,78.29,High
18,161467,1,8.38,85.87,High
25,167313,0,9.92,90.38,High
41,123892,20,8.29,100.0,High
28,178768,16,7.1,100.0,High
34,90480,15,5.56,80.58,High
25,66163,4,4.76,52.82,Medium
52,39816,14,1.3,40.54,Low
52,72853,2,4.29,49.6,Low
50,175989,6,9.15,100.0,High
22,116731,10,8.18,94.75,High
59,172638,9,2.55,36.46,Low
56,82823,8,4.93,52.8,Medium
58,171878,13,8.26,100.0,High
45,21759,12,1.14,34.08,Low
24,193021,1,4.18,42.28,Low
26,112374,2,8.59,91.13,High
25,153554,6,4.34,57.96,Medium
29,44442,20,1.24,44.26,Low
51,184791,17,5.65,84.35,High
50,113501,2,8.69,83.11,High
40,22079,9,6.11,72.99,Medium
41,153789,6,2.65,44.13,Low
54,79676,8,4.15,54.02,Medium
52,179024,16,4.78,81.28,High
57,193532,10,6.0,71.38,Medium
39,110397,6,7.71,87.27,High
44,92847,13,1.44,31.99,Low
52,113607,18,8.95,100.0,High
18,169521,3,0.62,15.18,Low
52,184608,5,4.02,50.71,Medium
54,84077,9,0.76,26.31,Low
31,58258,6,4.23,51.23,Medium
