@RELATION fruit_dataset

@ATTRIBUTE color {Red, Green, Yellow, Orange}
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE diameter NUMERIC
@ATTRIBUTE texture {Smooth, Rough, Bumpy}
@ATTRIBUTE class {Apple, Banana, Orange}

@DATA
% --- 10 Apple Instances ---
Red, 185.5, 7.5, Smooth, Apple
Red, 170.2, 7.2, Smooth, Apple
Green, 195.0, 8.0, Smooth, Apple
Red, 160.4, 6.8, Smooth, Apple
Red, 210.3, 8.2, Smooth, Apple
Green, 175.8, 7.4, Smooth, Apple
Red, 190.1, 7.9, Smooth, Apple
Red, 182.5, 7.6, Smooth, Apple
Green, 168.9, 7.1, Smooth, Apple
Red, 205.4, 8.1, Smooth, Apple

% --- 10 Banana Instances ---
Yellow, 120.5, 3.2, Smooth, Banana
Yellow, 115.2, 3.0, Smooth, Banana
Yellow, 130.8, 3.5, Smooth, Banana
Yellow, 110.4, 2.9, Smooth, Banana
Yellow, 140.1, 3.8, Smooth, Banana
Yellow, 125.7, 3.3, Smooth, Banana
Yellow, 118.9, 3.1, Smooth, Banana
Yellow, 135.2, 3.6, Smooth, Banana
Yellow, 122.3, 3.4, Smooth, Banana
Yellow, 128.6, 3.5, Smooth, Banana

% --- 10 Orange Instances ---
Orange, 150.2, 6.5, Bumpy, Orange
Orange, 165.5, 7.0, Bumpy, Orange
Orange, 145.8, 6.2, Bumpy, Orange
Orange, 170.3, 7.2, Bumpy, Orange
Orange, 155.1, 6.8, Bumpy, Orange
Orange, 160.9, 6.9, Bumpy, Orange
Orange, 140.4, 6.1, Bumpy, Orange
Orange, 175.2, 7.3, Bumpy, Orange
Orange, 158.7, 6.7, Bumpy, Orange
Orange, 162.4, 7.1, Bumpy, Orange
