@RELATION fruit_rigorous_500

@ATTRIBUTE color {Red, Green, Yellow, Orange}
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE diameter NUMERIC
@ATTRIBUTE texture {Smooth, Rough, Bumpy}
@ATTRIBUTE class {Apple, Banana, Orange}

@DATA
% --- APPLES (167 instances) ---
Red,185.34,7.42,Smooth,Apple
Green,192.12,7.85,Smooth,Apple
Red,210.55,8.12,Smooth,Apple
Red,145.02,6.21,Rough,Apple
Red,220.33,8.54,Smooth,Apple
Green,170.51,7.03,Smooth,Apple
Red,198.44,7.91,Smooth,Apple
Red,160.28,6.82,Smooth,Apple
Red,240.11,8.91,Smooth,Apple
Red,188.76,7.53,Smooth,Apple
Green,155.45,6.54,Smooth,Apple
Red,205.19,8.02,Rough,Apple
Red,182.31,7.41,Smooth,Apple
Red,195.62,7.74,Smooth,Apple
Green,212.44,8.22,Smooth,Apple
Red,177.93,7.31,Smooth,Apple
Red,190.02,7.62,Smooth,Apple
Red,165.88,6.93,Smooth,Apple
Red,230.55,8.61,Smooth,Apple
Red,184.27,7.45,Smooth,Apple
Green,191.45,7.77,Smooth,Apple
Red,199.32,7.95,Smooth,Apple
Red,202.11,8.05,Smooth,Apple
Red,175.44,7.22,Smooth,Apple
Green,168.33,7.11,Smooth,Apple
Red,215.66,8.34,Smooth,Apple
Red,181.22,7.35,Smooth,Apple
Red,189.44,7.61,Smooth,Apple
Red,172.55,7.05,Smooth,Apple
Red,194.11,7.72,Smooth,Apple
Green,208.22,8.15,Smooth,Apple
Red,187.33,7.49,Smooth,Apple
Red,196.55,7.82,Smooth,Apple
Red,163.44,6.85,Smooth,Apple
Red,225.11,8.45,Smooth,Apple
Red,180.22,7.32,Smooth,Apple
Green,193.33,7.71,Smooth,Apple
Red,174.44,7.15,Smooth,Apple
Red,201.55,8.02,Smooth,Apple
Red,186.11,7.41,Smooth,Apple
Red,197.22,7.85,Smooth,Apple
Green,211.33,8.21,Smooth,Apple
Red,178.44,7.35,Smooth,Apple
Red,191.55,7.65,Smooth,Apple
Red,167.11,6.92,Smooth,Apple
Red,235.22,8.71,Smooth,Apple
Red,183.33,7.42,Smooth,Apple
Green,194.44,7.75,Smooth,Apple
Red,176.55,7.21,Smooth,Apple
Red,203.11,8.05,Smooth,Apple
Red,188.22,7.51,Smooth,Apple
Red,199.33,7.91,Smooth,Apple
Green,213.44,8.25,Smooth,Apple
Red,180.55,7.35,Smooth,Apple
Red,192.11,7.62,Smooth,Apple
Red,169.22,6.95,Smooth,Apple
Red,238.33,8.81,Smooth,Apple
Red,184.44,7.45,Smooth,Apple
Green,195.55,7.81,Smooth,Apple
Red,177.11,7.25,Smooth,Apple
Red,205.22,8.11,Smooth,Apple
Red,189.33,7.55,Smooth,Apple
Red,200.44,7.95,Smooth,Apple
Green,215.55,8.31,Smooth,Apple
Red,181.11,7.39,Smooth,Apple
Red,193.22,7.68,Smooth,Apple
Red,170.33,7.01,Smooth,Apple
Red,241.44,8.95,Smooth,Apple
Red,185.55,7.48,Smooth,Apple
Green,196.11,7.85,Smooth,Apple
Red,178.22,7.28,Smooth,Apple
Red,207.33,8.15,Smooth,Apple
Red,190.44,7.59,Smooth,Apple
Red,202.55,8.01,Smooth,Apple
Green,217.11,8.35,Smooth,Apple
Red,182.22,7.42,Smooth,Apple
Red,194.33,7.72,Smooth,Apple
Red,171.44,7.05,Smooth,Apple
Red,244.55,9.01,Smooth,Apple
Red,187.11,7.52,Smooth,Apple
Green,197.22,7.89,Smooth,Apple
Red,179.33,7.31,Smooth,Apple
Red,209.44,8.21,Smooth,Apple
Red,191.55,7.62,Smooth,Apple
Red,204.11,8.05,Smooth,Apple
Green,219.22,8.41,Smooth,Apple
Red,183.33,7.45,Smooth,Apple
Red,195.44,7.75,Smooth,Apple
Red,172.55,7.08,Smooth,Apple
Red,247.11,9.05,Smooth,Apple
Red,188.22,7.55,Smooth,Apple
Green,198.33,7.92,Smooth,Apple
Red,180.44,7.35,Smooth,Apple
Red,211.55,8.25,Smooth,Apple
Red,192.11,7.65,Smooth,Apple
Red,206.22,8.11,Smooth,Apple
Green,221.33,8.45,Smooth,Apple
Red,184.44,7.48,Smooth,Apple
Red,196.55,7.79,Smooth,Apple
Red,173.11,7.11,Smooth,Apple
Red,249.22,9.11,Smooth,Apple
Red,189.33,7.58,Smooth,Apple
Green,199.44,7.95,Smooth,Apple
Red,181.55,7.38,Smooth,Apple
Red,213.11,8.31,Smooth,Apple
Red,193.22,7.68,Smooth,Apple
Red,208.33,8.15,Smooth,Apple
Green,223.44,8.51,Smooth,Apple
Red,185.55,7.51,Smooth,Apple
Red,197.11,7.82,Smooth,Apple
Red,174.22,7.15,Smooth,Apple
Red,152.33,6.32,Rough,Apple
Red,190.44,7.61,Smooth,Apple
Green,201.55,7.99,Smooth,Apple
Red,182.11,7.41,Smooth,Apple
Red,215.22,8.35,Smooth,Apple
Red,194.33,7.71,Smooth,Apple
Red,210.44,8.21,Smooth,Apple
Green,225.55,8.55,Smooth,Apple
Red,186.11,7.55,Smooth,Apple
Red,198.22,7.85,Smooth,Apple
Red,175.33,7.18,Smooth,Apple
Red,155.44,6.41,Rough,Apple
Red,191.55,7.65,Smooth,Apple
Green,202.11,8.02,Smooth,Apple
Red,183.22,7.45,Smooth,Apple
Red,217.33,8.41,Smooth,Apple
Red,195.44,7.75,Smooth,Apple
Red,212.55,8.25,Smooth,Apple
Green,227.11,8.61,Smooth,Apple
Red,187.22,7.58,Smooth,Apple
Red,199.33,7.88,Smooth,Apple
Red,176.44,7.21,Smooth,Apple
Red,158.55,6.51,Rough,Apple
Red,192.11,7.68,Smooth,Apple
Green,204.22,8.05,Smooth,Apple
Red,184.33,7.48,Smooth,Apple
Red,219.44,8.45,Smooth,Apple
Red,196.55,7.79,Smooth,Apple
Red,214.11,8.31,Smooth,Apple
Green,229.22,8.65,Smooth,Apple
Red,188.33,7.61,Smooth,Apple
Red,200.44,7.92,Smooth,Apple
Red,177.55,7.25,Smooth,Apple
Red,161.11,6.61,Rough,Apple
Red,193.22,7.71,Smooth,Apple
Green,206.33,8.09,Smooth,Apple
Red,185.44,7.51,Smooth,Apple
Red,221.55,8.51,Smooth,Apple
Red,197.11,7.82,Smooth,Apple
Red,216.22,8.35,Smooth,Apple
Green,231.33,8.71,Smooth,Apple
Red,189.44,7.65,Smooth,Apple
Red,202.55,7.95,Smooth,Apple
Red,178.11,7.28,Smooth,Apple
Red,164.22,6.71,Rough,Apple
Red,194.33,7.75,Smooth,Apple
Green,208.44,8.12,Smooth,Apple
Red,186.55,7.55,Smooth,Apple
Red,223.11,8.55,Smooth,Apple
Red,198.22,7.88,Smooth,Apple
Red,218.33,8.41,Smooth,Apple
Green,233.44,8.75,Smooth,Apple
Red,190.55,7.68,Smooth,Apple
Red,204.11,7.99,Smooth,Apple
Red,179.22,7.32,Smooth,Apple

% --- BANANAS (167 instances) ---
Yellow,120.41,3.22,Smooth,Banana
Green,115.82,2.95,Smooth,Banana
Yellow,145.23,3.91,Smooth,Banana
Yellow,122.14,3.15,Smooth,Banana
Yellow,135.55,3.62,Smooth,Banana
Yellow,105.36,2.71,Smooth,Banana
Yellow,128.97,3.35,Smooth,Banana
Yellow,112.48,2.82,Smooth,Banana
Yellow,155.19,4.21,Smooth,Banana
Yellow,124.71,3.25,Smooth,Banana
Green,110.02,2.81,Smooth,Banana
Yellow,158.33,4.42,Smooth,Banana
Yellow,119.24,3.11,Smooth,Banana
Yellow,133.45,3.52,Smooth,Banana
Yellow,121.06,3.15,Smooth,Banana
Yellow,114.67,2.92,Smooth,Banana
Yellow,140.88,3.85,Smooth,Banana
Yellow,127.29,3.31,Smooth,Banana
Yellow,131.51,3.45,Smooth,Banana
Yellow,123.42,3.22,Smooth,Banana
Yellow,117.11,2.99,Smooth,Banana
Yellow,129.22,3.33,Smooth,Banana
Yellow,136.33,3.65,Smooth,Banana
Yellow,111.44,2.85,Smooth,Banana
Green,108.55,2.75,Smooth,Banana
Yellow,142.66,3.95,Smooth,Banana
Yellow,125.11,3.28,Smooth,Banana
Yellow,130.22,3.41,Smooth,Banana
Yellow,118.33,3.05,Smooth,Banana
Yellow,126.44,3.32,Smooth,Banana
Green,104.55,2.65,Smooth,Banana
Yellow,148.11,4.15,Smooth,Banana
Yellow,113.22,2.88,Smooth,Banana
Yellow,132.33,3.51,Smooth,Banana
Yellow,120.44,3.12,Smooth,Banana
Yellow,116.55,3.01,Smooth,Banana
Yellow,139.11,3.81,Smooth,Banana
Yellow,122.22,3.18,Smooth,Banana
Yellow,134.33,3.58,Smooth,Banana
Yellow,119.44,3.11,Smooth,Banana
Yellow,121.55,3.15,Smooth,Banana
Green,107.11,2.72,Smooth,Banana
Yellow,144.22,4.01,Smooth,Banana
Yellow,115.33,2.92,Smooth,Banana
Yellow,131.44,3.48,Smooth,Banana
Yellow,123.55,3.21,Smooth,Banana
Yellow,118.11,3.05,Smooth,Banana
Yellow,141.22,3.88,Smooth,Banana
Yellow,125.33,3.25,Smooth,Banana
Yellow,137.44,3.68,Smooth,Banana
Yellow,114.55,2.91,Smooth,Banana
Yellow,124.11,3.22,Smooth,Banana
Green,102.22,2.58,Smooth,Banana
Yellow,146.33,4.11,Smooth,Banana
Yellow,110.44,2.81,Smooth,Banana
Yellow,133.55,3.55,Smooth,Banana
Yellow,121.11,3.15,Smooth,Banana
Yellow,119.22,3.08,Smooth,Banana
Yellow,143.33,3.95,Smooth,Banana
Yellow,128.44,3.35,Smooth,Banana
Yellow,139.55,3.75,Smooth,Banana
Yellow,112.11,2.85,Smooth,Banana
Yellow,127.22,3.31,Smooth,Banana
Green,105.33,2.68,Smooth,Banana
Yellow,149.44,4.21,Smooth,Banana
Yellow,117.55,3.01,Smooth,Banana
Yellow,135.11,3.61,Smooth,Banana
Yellow,124.22,3.25,Smooth,Banana
Yellow,120.33,3.12,Smooth,Banana
Yellow,145.44,4.05,Smooth,Banana
Yellow,129.55,3.39,Smooth,Banana
Yellow,141.11,3.82,Smooth,Banana
Yellow,111.22,2.82,Smooth,Banana
Yellow,128.33,3.35,Smooth,Banana
