@RELATION decision_tree_demo

@ATTRIBUTE age NUMERIC
@ATTRIBUTE income NUMERIC
@ATTRIBUTE class {Buy,NoBuy}

@DATA
20,95,NoBuy
31,92,Buy
47,41,NoBuy
57,85,Buy
20,68,NoBuy
30,64,NoBuy
24,46,NoBuy
54,75,Buy
55,44,NoBuy
49,33,NoBuy
60,69,Buy
36,84,Buy
49,22,NoBuy
38,98,Buy
43,56,Buy
19,40,NoBuy
30,61,NoBuy
54,37,NoBuy
39,74,Buy
31,54,Buy
24,68,NoBuy
53,64,Buy
52,82,Buy
52,50,NoBuy
22,25,NoBuy
23,37,NoBuy
28,41,NoBuy
52,47,NoBuy
35,62,Buy
56,84,Buy
34,67,Buy
39,63,Buy
25,57,NoBuy
33,97,Buy
49,37,NoBuy
55,90,Buy
24,61,NoBuy
20,72,NoBuy
22,68,NoBuy
27,36,NoBuy
39,34,NoBuy
57,95,Buy
42,29,NoBuy
54,90,Buy
32,92,Buy
23,54,NoBuy
41,57,Buy
54,88,Buy
25,78,NoBuy
35,33,NoBuy
20,57,NoBuy
18,98,NoBuy
60,21,NoBuy
23,72,NoBuy
25,25,NoBuy
30,50,NoBuy
55,73,Buy
28,34,NoBuy
46,41,NoBuy
33,40,NoBuy
24,75,NoBuy
42,89,Buy
36,90,Buy
34,81,Buy
38,32,NoBuy
31,60,Buy
20,23,NoBuy
18,57,NoBuy
56,60,Buy
46,70,Buy
38,71,Buy
22,28,NoBuy
38,96,Buy
47,34,NoBuy
34,47,NoBuy
57,89,Buy
48,65,Buy
34,43,NoBuy
52,46,NoBuy
37,45,NoBuy
