@RELATION knn_clusters

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE class {ClassA,ClassB}

@DATA
2.01,2.33,ClassA
1.56,4.25,ClassA
0.9,2.37,ClassA
0.82,0.51,ClassA
1.47,2.43,ClassA
1.67,2.62,ClassA
2.97,0.61,ClassA
1.76,2.68,ClassA
0.99,1.71,ClassA
1.51,1.66,ClassA
2.59,2.08,ClassA
2.91,2.44,ClassA
2.29,2.14,ClassA
1.56,1.5,ClassA
2.24,1.1,ClassA
2.3,1.65,ClassA
0.58,1.99,ClassA
3.73,2.91,ClassA
2.64,3.23,ClassA
3.48,1.86,ClassA
1.84,2.34,ClassA
0.21,1.84,ClassA
1.54,3.63,ClassA
3.11,3.37,ClassA
2.68,2.14,ClassA
3.18,1.17,ClassA
3.28,1.16,ClassA
1.97,0.78,ClassA
2.37,2.77,ClassA
2.69,3.06,ClassA
1.7,1.47,ClassA
3.89,2.81,ClassA
2.36,1.06,ClassA
0.49,1.6,ClassA
1.23,2.23,ClassA
1.67,2.52,ClassA
3.14,2.18,ClassA
1.1,2.52,ClassA
2.69,2.29,ClassA
2.27,2.32,ClassA
1.91,3.5,ClassA
1.35,2.49,ClassA
1.56,1.62,ClassA
2.98,2.05,ClassA
0.84,1.99,ClassA
0.87,2.46,ClassA
1.93,1.41,ClassA
1.09,2.03,ClassA
2.13,2.81,ClassA
0.38,1.35,ClassA
2.56,1.68,ClassA
1.85,1.8,ClassA
2.86,2.42,ClassA
2.34,1.67,ClassA
2.17,0.35,ClassA
1.53,3.14,ClassA
2.45,1.37,ClassA
1.61,0.75,ClassA
0.69,1.12,ClassA
3.62,0.77,ClassA
1.55,1.78,ClassA
2.0,2.56,ClassA
0.78,1.43,ClassA
3.15,2.39,ClassA
1.85,1.28,ClassA
1.52,1.95,ClassA
1.97,1.77,ClassA
3.44,1.83,ClassA
1.56,1.54,ClassA
3.73,0.95,ClassA
2.89,3.06,ClassA
2.64,1.02,ClassA
1.73,1.17,ClassA
3.89,1.02,ClassA
0.93,2.97,ClassA
1.56,2.2,ClassA
1.81,2.37,ClassA
3.7,0.9,ClassA
2.79,2.74,ClassA
1.66,2.22,ClassA
7.83,8.58,ClassB
8.0,7.93,ClassB
8.32,8.8,ClassB
9.11,8.15,ClassB
6.8,7.06,ClassB
8.18,8.63,ClassB
7.38,7.83,ClassB
7.48,7.69,ClassB
7.43,6.71,ClassB
8.78,5.99,ClassB
7.11,7.74,ClassB
8.84,6.92,ClassB
7.29,7.66,ClassB
7.92,8.37,ClassB
8.14,7.62,ClassB
7.98,7.0,ClassB
9.32,7.7,ClassB
8.43,7.93,ClassB
6.96,8.0,ClassB
7.64,8.88,ClassB
7.39,8.77,ClassB
8.86,8.0,ClassB
7.35,8.21,ClassB
6.87,8.83,ClassB
7.62,7.15,ClassB
7.53,7.38,ClassB
8.02,8.07,ClassB
7.81,9.06,ClassB
9.11,6.98,ClassB
5.65,7.84,ClassB
6.53,8.36,ClassB
6.89,8.72,ClassB
8.68,7.95,ClassB
8.53,8.98,ClassB
7.26,7.85,ClassB
8.79,8.02,ClassB
7.27,8.37,ClassB
8.68,7.19,ClassB
7.83,6.3,ClassB
7.99,7.07,ClassB
7.97,6.86,ClassB
7.33,7.09,ClassB
7.06,8.62,ClassB
6.74,6.6,ClassB
8.31,6.48,ClassB
8.16,6.54,ClassB
7.42,7.54,ClassB
7.89,9.25,ClassB
8.7,7.29,ClassB
8.87,9.24,ClassB
7.11,8.09,ClassB
8.92,8.27,ClassB
7.97,7.16,ClassB
7.28,8.92,ClassB
8.94,8.12,ClassB
9.16,7.59,ClassB
7.0,8.71,ClassB
7.57,7.66,ClassB
8.44,9.61,ClassB
7.96,8.31,ClassB
8.47,7.15,ClassB
7.35,8.71,ClassB
7.96,7.52,ClassB
7.28,6.96,ClassB
8.25,7.42,ClassB
7.55,7.63,ClassB
7.54,7.82,ClassB
8.4,6.44,ClassB
7.73,8.5,ClassB
9.22,7.72,ClassB
8.11,7.83,ClassB
8.9,7.34,ClassB
7.65,8.78,ClassB
8.1,6.6,ClassB
8.41,9.04,ClassB
9.09,9.86,ClassB
6.34,8.61,ClassB
7.85,6.92,ClassB
7.93,8.98,ClassB
8.28,8.33,ClassB
