@RELATION svm_vs_knn_nonlinear

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE class {Inner,Outer}

@DATA
-0.963,1.925,Inner
1.987,0.972,Inner
-1.909,-0.438,Inner
-2.044,-0.096,Inner
1.884,0.452,Inner
1.707,1.094,Inner
-1.817,0.933,Inner
0.321,1.891,Inner
-1.548,-1.596,Inner
-1.532,1.163,Inner
2.315,-0.348,Inner
-0.518,2.038,Inner
1.304,1.664,Inner
0.849,-1.925,Inner
0.749,1.611,Inner
-1.303,1.347,Inner
-1.966,-0.608,Inner
0.553,1.947,Inner
-0.788,-1.685,Inner
-1.777,-1.059,Inner
-1.82,0.551,Inner
-0.726,-2.187,Inner
0.067,1.803,Inner
1.345,-1.343,Inner
-0.242,-1.865,Inner
1.836,1.682,Inner
-1.745,0.986,Inner
-1.892,0.131,Inner
1.794,0.451,Inner
-1.554,-0.768,Inner
1.342,-1.334,Inner
-1.871,-1.26,Inner
-1.463,-0.803,Inner
1.968,-0.713,Inner
-1.941,0.319,Inner
-0.584,-1.856,Inner
-1.406,-1.863,Inner
-0.428,1.939,Inner
-1.493,1.303,Inner
-1.91,0.469,Inner
1.008,1.781,Inner
0.233,-2.029,Inner
1.377,1.454,Inner
1.506,-1.575,Inner
1.56,0.865,Inner
1.54,-1.386,Inner
0.884,-1.9,Inner
-1.629,0.959,Inner
-1.476,1.813,Inner
0.991,1.38,Inner
0.901,1.802,Inner
-2.121,0.201,Inner
-1.693,-1.062,Inner
-1.76,0.983,Inner
-1.085,1.166,Inner
-0.665,-1.694,Inner
-1.792,-0.175,Inner
1.714,0.605,Inner
1.67,-1.221,Inner
0.486,-1.566,Inner
-1.507,1.209,Inner
-1.362,-1.532,Inner
1.953,0.805,Inner
1.074,1.747,Inner
-1.074,1.691,Inner
1.163,1.628,Inner
1.586,1.174,Inner
1.43,-1.442,Inner
-1.57,-1.367,Inner
-1.212,1.727,Inner
-1.48,1.696,Inner
2.242,-0.097,Inner
-1.88,0.408,Inner
1.608,1.202,Inner
-1.082,1.645,Inner
1.234,1.984,Inner
2.187,0.32,Inner
1.169,1.539,Inner
-2.136,-0.594,Inner
2.019,-0.274,Inner
1.276,-1.479,Inner
-1.25,1.388,Inner
1.011,1.761,Inner
0.323,-1.751,Inner
-0.986,1.803,Inner
2.314,-0.22,Inner
1.271,-1.69,Inner
-0.107,-1.685,Inner
0.267,1.813,Inner
1.949,0.359,Inner
1.944,0.345,Inner
-0.755,-1.999,Inner
1.54,-0.432,Inner
2.132,-0.161,Inner
1.84,-0.535,Inner
0.304,2.073,Inner
0.681,1.956,Inner
1.816,-1.314,Inner
0.937,-1.467,Inner
0.624,-1.936,Inner
1.542,0.909,Inner
0.336,-1.632,Inner
0.002,-1.888,Inner
0.491,-1.955,Inner
-1.066,1.868,Inner
-1.225,0.94,Inner
-1.851,1.32,Inner
0.918,1.67,Inner
1.555,1.595,Inner
0.806,-2.173,Inner
1.356,1.775,Inner
-0.854,-1.297,Inner
-1.126,1.542,Inner
1.963,0.176,Inner
1.839,-0.34,Inner
1.666,-0.738,Inner
-2.043,0.902,Inner
0.426,1.705,Inner
-0.023,1.964,Inner
-1.822,-1.1,Inner
-0.287,4.876,Outer
4.276,-2.713,Outer
-2.84,3.72,Outer
4.194,-2.877,Outer
-4.616,2.514,Outer
