@RELATION random_forest_vs_tree

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE class {Yes,No}

@DATA
6.593,0.661,Yes
2.522,0.744,No
7.293,2.052,Yes
9.757,4.939,Yes
4.79,6.837,Yes
6.17,6.428,No
1.474,2.539,No
3.044,5.678,No
0.607,2.688,No
6.922,6.757,No
5.165,4.647,Yes
1.185,8.937,Yes
9.781,9.363,Yes
4.59,8.199,Yes
4.495,2.687,No
9.456,2.107,Yes
1.417,5.241,Yes
1.326,8.202,Yes
8.869,7.033,No
8.977,4.861,No
0.036,4.917,No
3.02,1.407,No
3.161,8.402,No
7.507,8.391,No
9.264,7.13,No
2.898,3.722,No
9.988,5.892,No
4.281,2.752,Yes
1.017,8.347,Yes
9.356,2.493,Yes
5.11,1.898,Yes
9.562,8.843,No
6.309,9.134,No
5.492,7.196,Yes
7.324,4.509,Yes
6.445,2.862,No
9.268,1.273,Yes
3.437,2.978,No
9.763,2.602,Yes
3.008,5.573,Yes
1.673,1.617,No
9.06,4.971,Yes
9.063,9.965,No
1.396,1.924,No
3.42,0.911,No
2.584,5.696,Yes
7.497,4.128,Yes
5.242,3.769,Yes
0.621,2.775,No
1.259,5.034,Yes
8.629,2.16,Yes
2.485,3.998,No
9.539,8.487,No
0.218,0.322,No
8.957,4.733,Yes
0.002,3.915,No
8.256,8.555,No
2.485,1.09,No
5.224,6.821,No
7.217,6.473,No
4.573,5.515,No
7.823,2.326,Yes
6.455,3.038,Yes
2.518,6.363,Yes
1.121,0.704,No
5.829,3.881,Yes
6.011,0.105,Yes
4.607,9.589,Yes
8.838,4.753,Yes
2.471,9.606,Yes
3.074,0.218,No
6.745,4.2,Yes
6.674,9.252,No
0.341,3.381,No
6.826,1.981,Yes
7.391,5.049,No
9.699,3.117,Yes
2.308,2.214,No
2.949,9.519,Yes
1.873,2.233,No
6.653,9.488,No
3.935,2.129,No
1.419,0.518,No
3.933,8.982,Yes
7.327,9.975,No
3.292,1.855,No
7.463,0.319,Yes
3.786,3.739,No
1.693,0.029,No
3.515,9.555,Yes
9.643,2.074,Yes
8.216,8.22,No
0.493,4.735,No
9.195,1.93,Yes
8.97,0.303,Yes
8.118,7.667,Yes
0.349,0.626,No
2.57,7.473,Yes
3.391,2.723,No
6.17,2.622,Yes
3.165,2.756,Yes
7.557,9.165,No
9.433,0.243,Yes
4.752,9.568,Yes
3.865,2.51,No
4.935,9.281,Yes
8.026,7.385,No
7.728,6.073,No
3.195,3.619,No
0.79,1.973,No
2.473,0.647,Yes
5.526,3.258,Yes
8.835,9.878,No
0.841,0.964,No
7.098,4.47,Yes
4.168,6.203,Yes
7.48,8.47,No
1.212,8.409,Yes
5.669,3.73,Yes
1.992,2.474,No
1.533,8.842,Yes
3.263,3.961,No
5.073,2.314,Yes
6.533,9.91,No
4.748,8.191,Yes
9.144,0.404,Yes
1.192,1.896,No
5.832,9.302,No
8.661,4.491,Yes
7.778,9.457,No
5.961,6.199,No
3.687,1.414,No
2.549,5.994,Yes
2.034,0.114,No
6.783,1.851,Yes
2.034,7.953,Yes
0.633,1.014,No
5.501,6.392,No
1.637,6.954,Yes
2.833,3.076,No
3.124,5.665,Yes
4.164,8.642,Yes
3.638,1.972,No
2.037,0.059,No
4.238,8.204,Yes
8.828,4.609,Yes
0.148,5.515,Yes
9.098,0.89,Yes
3.708,5.045,Yes
2.833,5.212,Yes
1.088,4.905,No
9.669,1.973,Yes
9.431,9.755,No
0.534,9.262,Yes
9.042,6.203,No
1.603,7.858,Yes
4.045,8.464,Yes
1.83,2.181,No
5.179,3.836,Yes
2.471,7.249,Yes
0.411,5.623,Yes
0.381,8.382,Yes
5.995,5.501,No
3.062,4.201,No
4.257,6.588,Yes
4.384,0.234,No
4.895,2.353,No
7.8,4.583,Yes
4.732,1.071,No
4.306,0.917,No
5.102,0.408,Yes
0.822,7.335,Yes
5.115,0.543,Yes
3.779,9.509,Yes
8.571,9.961,No
8.15,1.937,Yes
4.919,9.566,Yes
1.651,7.884,Yes
0.655,3.509,No
1.588,8.965,Yes
8.156,1.436,Yes
9.199,2.083,Yes
5.06,3.191,No
1.821,1.612,No
6.797,8.954,No
7.849,1.151,Yes
6.363,3.598,Yes
5.552,5.8,No
1.046,9.93,Yes
3.943,7.977,Yes
9.905,5.774,No
7.646,4.423,Yes
7.436,0.483,Yes
2.537,6.392,Yes
5.859,6.637,No
0.018,0.338,No
6.161,4.322,Yes
8.955,1.32,Yes
6.531,0.223,No
3.55,1.064,No
2.243,5.836,Yes
2.042,6.239,Yes
1.347,9.366,Yes
1.493,0.958,No
8.713,7.822,No
2.642,0.115,No
5.623,3.503,Yes
4.438,9.372,Yes
2.485,9.035,No
5.315,4.06,Yes
0.584,7.789,No
5.509,9.409,No
1.995,6.081,Yes
6.416,8.134,No
3.094,3.003,Yes
8.894,7.83,No
0.063,8.444,Yes
4.653,7.418,Yes
2.259,1.053,No
0.388,3.355,No
6.951,8.453,No
2.66,5.538,Yes
7.885,5.232,No
6.42,9.651,No
8.8,0.152,Yes
2.361,7.439,Yes
7.462,3.269,Yes
3.286,2.392,No
6.307,6.928,No
9.79,4.695,Yes
6.976,8.575,No
7.246,5.703,No
2.12,6.226,Yes
9.108,1.446,No
1.067,9.289,Yes
1.418,0.287,Yes
6.926,6.339,No
7.368,0.658,Yes
3.634,8.176,Yes
8.913,0.659,Yes
9.144,9.443,No
2.057,1.12,Yes
8.477,8.12,No
8.251,6.315,No
0.999,0.979,No
2.05,3.191,No
0.209,2.567,No
7.158,3.68,Yes
9.64,5.037,No
6.183,0.31,Yes
4.364,7.73,Yes
7.047,5.379,No
8.622,0.909,Yes
1.704,0.013,No
7.622,9.779,Yes
4.908,4.915,No
1.845,4.946,No
8.318,2.606,Yes
2.837,2.147,No
4.983,1.099,No
0.809,7.879,Yes
7.869,6.279,No
4.013,3.946,No
0.862,8.884,No
2.061,2.632,No
5.012,3.793,Yes
2.336,4.609,No
7.545,7.53,No
3.485,3.267,No
8.431,6.621,No
1.696,4.388,No
5.792,1.261,Yes
8.851,2.379,Yes
3.015,7.032,Yes
1.546,1.56,No
3.266,5.222,Yes
3.281,1.893,No
7.287,1.018,Yes
1.016,3.842,No
7.949,7.333,No
1.962,6.38,Yes
2.064,3.883,Yes
3.99,7.91,Yes
5.005,6.324,No
1.418,6.037,Yes
7.409,9.08,No
5.74,7.491,No
2.286,7.222,Yes
7.74,7.001,No
6.796,6.415,No
3.13,6.283,Yes
4.196,7.824,Yes
6.296,2.501,Yes
4.552,6.216,Yes
6.752,9.302,No
6.545,7.782,No
4.898,9.746,No
5.434,1.608,Yes
9.406,5.192,No
5.746,5.41,No
