@RELATION naive_bayes_failure_correlated

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE class {Positive,Negative}

@DATA
3.149,3.111,Positive
5.752,5.378,Positive
2.327,2.782,Positive
5.49,6.005,Positive
3.279,3.65,Positive
7.696,8.399,Positive
4.727,4.821,Positive
4.8,5.149,Positive
6.349,6.38,Positive
3.233,3.493,Positive
4.389,4.609,Positive
5.342,5.91,Positive
6.479,6.321,Positive
5.454,6.071,Positive
4.302,4.453,Positive
6.548,6.988,Positive
5.674,5.212,Positive
3.361,3.447,Positive
5.504,6.395,Positive
3.88,4.278,Positive
6.002,5.417,Positive
3.936,3.994,Positive
4.358,4.304,Positive
5.611,5.328,Positive
5.606,5.384,Positive
4.292,4.48,Positive
4.255,4.355,Positive
7.079,7.089,Positive
4.81,5.067,Positive
4.525,4.904,Positive
3.332,3.549,Positive
4.334,4.055,Positive
7.301,7.003,Positive
7.284,7.514,Positive
6.889,6.547,Positive
6.559,7.068,Positive
4.849,4.804,Positive
8.193,8.255,Positive
4.451,4.23,Positive
5.58,5.695,Positive
5.231,5.833,Positive
4.574,4.739,Positive
6.897,6.546,Positive
6.35,6.992,Positive
3.239,2.855,Positive
3.65,3.004,Positive
5.589,4.939,Positive
5.648,6.157,Positive
2.9,2.79,Positive
2.507,2.779,Positive
4.041,3.948,Positive
5.071,5.261,Positive
4.549,4.555,Positive
4.289,4.33,Positive
3.476,3.498,Positive
2.488,2.317,Positive
7.49,7.518,Positive
3.362,3.452,Positive
3.736,3.158,Positive
4.043,4.3,Positive
5.499,5.465,Positive
3.795,3.418,Positive
6.755,6.84,Positive
3.763,3.024,Positive
3.219,4.085,Positive
3.506,3.48,Positive
5.273,5.218,Positive
4.638,4.158,Positive
3.634,4.225,Positive
4.017,4.313,Positive
2.798,2.702,Positive
5.339,5.702,Positive
3.54,3.749,Positive
5.502,5.244,Positive
5.62,5.306,Positive
3.965,3.959,Positive
1.472,1.434,Positive
3.7,3.188,Positive
4.447,4.714,Positive
4.474,4.917,Positive
3.493,3.033,Positive
7.017,7.156,Positive
6.229,5.939,Positive
6.046,6.137,Positive
5.843,5.852,Positive
6.568,6.341,Positive
3.747,3.23,Positive
6.509,6.25,Positive
3.644,3.315,Positive
4.421,3.976,Positive
4.622,4.403,Positive
4.283,3.948,Positive
5.048,4.887,Positive
5.149,5.237,Positive
5.442,4.676,Positive
4.304,4.025,Positive
6.007,5.454,Positive
4.071,3.968,Positive
4.563,4.91,Positive
4.424,4.762,Positive
3.095,2.46,Positive
6.585,6.738,Positive
5.634,5.677,Positive
5.63,5.204,Positive
6.233,6.047,Positive
6.281,6.312,Positive
2.434,1.984,Positive
6.466,6.418,Positive
4.486,4.571,Positive
4.447,4.257,Positive
5.133,5.184,Positive
6.972,6.988,Positive
7.444,8.075,Positive
7.232,7.603,Positive
5.17,5.218,Positive
4.815,4.559,Positive
4.914,4.689,Positive
7.132,7.319,Positive
4.42,3.749,Positive
4.931,4.785,Positive
3.588,3.191,Positive
2.075,2.274,Positive
4.915,5.818,Positive
4.96,4.908,Positive
6.877,6.924,Positive
5.218,5.087,Positive
4.213,4.738,Positive
6.301,6.901,Positive
4.545,4.556,Positive
3.855,4.193,Positive
3.189,3.387,Positive
6.425,6.919,Positive
3.778,4.16,Positive
4.072,3.807,Positive
3.28,3.684,Positive
7.143,6.935,Positive
4.013,3.894,Positive
8.26,8.611,Positive
4.295,3.667,Positive
4.126,4.541,Positive
7.428,2.479,Negative
4.101,5.72,Negative
2.549,7.769,Negative
3.588,6.784,Negative
2.78,6.775,Negative
5.375,4.358,Negative
6.016,3.987,Negative
3.473,6.745,Negative
6.095,3.236,Negative
7.374,2.8,Negative
5.988,3.361,Negative
4.064,5.813,Negative
6.4,3.089,Negative
3.851,5.439,Negative
4.687,5.434,Negative
2.808,6.985,Negative
5.664,4.891,Negative
5.863,4.03,Negative
3.469,6.204,Negative
4.137,5.915,Negative
4.936,5.648,Negative
5.373,4.252,Negative
7.008,3.325,Negative
5.131,4.616,Negative
2.568,7.074,Negative
6.185,3.534,Negative
3.284,6.784,Negative
5.317,4.895,Negative
5.852,4.641,Negative
3.909,6.434,Negative
3.716,6.526,Negative
5.233,4.852,Negative
6.258,3.736,Negative
6.446,3.86,Negative
5.176,4.625,Negative
4.02,5.795,Negative
4.737,5.254,Negative
8.875,1.348,Negative
6.0,3.699,Negative
4.076,5.812,Negative
5.25,4.388,Negative
7.096,2.707,Negative
6.402,2.781,Negative
4.991,5.106,Negative
5.249,4.962,Negative
5.364,4.693,Negative
2.54,7.211,Negative
1.955,8.265,Negative
5.4,4.532,Negative
3.932,5.864,Negative
7.399,3.207,Negative
4.924,5.527,Negative
2.936,6.387,Negative
4.372,5.322,Negative
4.273,5.793,Negative
8.932,0.836,Negative
5.064,5.032,Negative
4.955,5.37,Negative
7.308,2.257,Negative
5.21,4.697,Negative
5.463,4.001,Negative
2.715,6.475,Negative
5.683,4.384,Negative
5.096,4.076,Negative
4.514,5.221,Negative
3.162,6.517,Negative
5.907,4.283,Negative
4.971,5.21,Negative
4.215,5.809,Negative
5.052,5.142,Negative
4.909,5.041,Negative
4.825,4.949,Negative
7.904,2.276,Negative
5.558,5.244,Negative
6.824,2.631,Negative
5.904,4.389,Negative
7.45,3.01,Negative
6.002,3.586,Negative
3.868,6.226,Negative
5.656,3.986,Negative
4.5,5.36,Negative
5.079,5.039,Negative
4.627,4.94,Negative
6.615,3.943,Negative
4.862,5.496,Negative
5.577,4.653,Negative
5.626,4.107,Negative
5.746,4.608,Negative
3.835,6.853,Negative
7.717,2.921,Negative
7.586,2.674,Negative
4.56,5.23,Negative
3.943,6.097,Negative
4.957,5.277,Negative
2.374,8.435,Negative
7.959,2.031,Negative
5.879,4.287,Negative
5.356,4.571,Negative
4.84,4.871,Negative
5.232,4.76,Negative
5.416,4.284,Negative
5.051,4.965,Negative
5.785,3.842,Negative
5.545,4.799,Negative
5.776,4.095,Negative
4.361,5.556,Negative
5.948,4.596,Negative
4.795,4.981,Negative
5.489,4.583,Negative
3.82,5.922,Negative
4.868,5.367,Negative
3.449,6.195,Negative
5.649,3.923,Negative
5.142,4.982,Negative
4.856,4.788,Negative
4.922,4.961,Negative
5.437,4.27,Negative
6.419,2.995,Negative
4.771,5.232,Negative
6.25,3.537,Negative
5.71,4.092,Negative
5.96,4.648,Negative
4.479,5.676,Negative
3.794,6.546,Negative
6.574,3.438,Negative
3.525,6.616,Negative
6.494,3.888,Negative
6.057,3.302,Negative
4.116,6.381,Negative
3.406,6.99,Negative
7.447,2.819,Negative
6.456,3.427,Negative
3.407,6.557,Negative
4.741,5.242,Negative
5.906,4.044,Negative
5.249,4.899,Negative
4.993,5.652,Negative
5.575,4.454,Negative
4.73,5.051,Negative
6.748,3.305,Negative
