@RELATION gaussian_vs_uniform_naive_bayes

@ATTRIBUTE value NUMERIC
@ATTRIBUTE noise NUMERIC
@ATTRIBUTE class {uniform,gaussian}

@DATA
50.56,0.059,gaussian
57.05,0.612,gaussian
46.02,0.166,gaussian
71.7,0.249,uniform
55.08,0.898,uniform
20.69,0.721,uniform
63.74,0.673,uniform
55.79,0.935,gaussian
40.29,0.588,uniform
47.69,0.748,gaussian
60.9,0.537,uniform
72.55,0.263,uniform
55.58,0.265,gaussian
62.58,0.08,gaussian
57.12,0.605,gaussian
43.78,0.401,gaussian
31.41,0.449,uniform
48.52,0.55,uniform
49.07,0.299,gaussian
78.26,0.861,uniform
45.43,0.741,gaussian
39.59,0.523,gaussian
26.58,0.627,uniform
40.94,0.957,gaussian
44.68,0.552,gaussian
34.99,0.923,uniform
33.74,0.905,uniform
38.84,0.235,gaussian
67.52,0.422,uniform
45.41,0.467,uniform
74.76,0.871,uniform
37.91,0.639,uniform
37.86,0.987,gaussian
55.22,0.595,gaussian
72.68,0.947,uniform
27.26,0.225,uniform
45.39,0.212,uniform
56.54,0.153,uniform
23.81,0.382,uniform
48.87,0.075,gaussian
63.56,0.37,gaussian
66.72,0.53,uniform
45.08,0.297,gaussian
31.05,0.265,gaussian
21.17,0.929,uniform
79.96,0.836,uniform
69.14,0.186,gaussian
31.79,0.115,gaussian
68.45,0.19,uniform
48.36,0.785,uniform
34.28,0.669,uniform
44.05,0.264,gaussian
42.41,0.12,gaussian
61.61,0.542,gaussian
53.68,0.263,uniform
25.14,0.486,uniform
76.13,0.571,uniform
43.96,0.219,uniform
50.04,0.179,uniform
36.01,0.641,uniform
46.29,0.518,uniform
46.59,0.861,uniform
53.35,0.771,gaussian
54.19,0.853,gaussian
52.63,0.995,gaussian
24.26,0.631,uniform
45.7,0.619,gaussian
45.31,0.279,uniform
58.94,0.272,gaussian
38.98,0.134,gaussian
61.16,0.503,gaussian
43.58,0.583,gaussian
52.36,0.73,uniform
47.22,0.954,uniform
54.39,0.996,gaussian
63.7,0.396,gaussian
36.54,0.155,gaussian
58.95,0.998,gaussian
68.02,0.784,gaussian
37.4,0.158,gaussian
54.05,0.239,gaussian
79.77,0.529,uniform
79.71,0.65,uniform
50.55,0.883,gaussian
79.05,0.098,uniform
72.72,0.832,uniform
46.41,0.316,gaussian
55.11,0.899,gaussian
43.58,0.004,gaussian
65.95,0.128,uniform
33.81,0.22,uniform
32.85,0.132,uniform
53.02,0.051,uniform
38.45,0.058,uniform
24.15,0.761,uniform
70.17,0.849,gaussian
25.45,0.047,uniform
25.82,0.431,uniform
26.69,0.435,uniform
52.77,0.933,gaussian
39.58,0.155,gaussian
32.07,0.312,uniform
35.9,0.872,uniform
50.01,0.78,gaussian
56.95,0.93,gaussian
43.3,0.752,gaussian
54.19,0.884,gaussian
53.77,0.899,gaussian
48.77,0.634,gaussian
71.58,0.071,uniform
49.36,0.817,gaussian
32.88,0.21,gaussian
79.85,0.51,uniform
44.16,0.339,uniform
52.81,0.308,gaussian
20.03,0.324,uniform
51.41,0.092,gaussian
30.51,0.846,gaussian
65.75,0.539,uniform
59.31,0.835,gaussian
