@RELATION gaussian_naive_bayes_demo

@ATTRIBUTE value NUMERIC
@ATTRIBUTE category {Low,Medium,High}

@DATA
23.86,Low
24.35,Low
20.2,Low
17.71,Low
16.72,Low
20.09,Low
16.93,Low
15.69,Low
20.6,Low
20.4,Low
21.64,Low
17.26,Low
20.02,Low
19.81,Low
15.48,Low
21.61,Low
20.96,Low
27.17,Low
20.61,Low
19.57,Low
23.7,Low
20.6,Low
22.73,Low
18.9,Low
20.65,Low
23.07,Low
22.09,Low
20.39,Low
16.75,Low
21.34,Low
20.23,Low
22.16,Low
20.65,Low
23.26,Low
19.85,Low
20.61,Low
22.0,Low
16.74,Low
18.8,Low
18.5,Low
25.94,Low
19.72,Low
21.96,Low
21.86,Low
19.16,Low
15.35,Low
22.89,Low
18.78,Low
22.15,Low
16.08,Low
18.69,Low
23.77,Low
24.29,Low
16.09,Low
16.0,Low
19.87,Low
22.18,Low
20.48,Low
20.91,Low
17.03,Low
52.35,Medium
54.47,Medium
48.26,Medium
44.27,Medium
46.96,Medium
53.05,Medium
43.07,Medium
49.63,Medium
46.04,Medium
49.48,Medium
49.02,Medium
50.06,Medium
56.0,Medium
51.68,Medium
55.33,Medium
49.43,Medium
48.08,Medium
51.52,Medium
38.66,Medium
49.84,Medium
50.64,Medium
45.06,Medium
51.86,Medium
47.76,Medium
40.16,Medium
49.15,Medium
46.08,Medium
47.92,Medium
49.39,Medium
55.0,Medium
50.41,Medium
49.89,Medium
51.56,Medium
42.75,Medium
54.96,Medium
45.69,Medium
51.76,Medium
45.49,Medium
46.09,Medium
48.41,Medium
57.58,Medium
52.79,Medium
47.58,Medium
48.86,Medium
45.39,Medium
49.86,Medium
47.71,Medium
52.89,Medium
44.57,Medium
48.66,Medium
46.63,Medium
47.13,Medium
52.84,Medium
50.51,Medium
52.34,Medium
54.76,Medium
54.6,Medium
44.51,Medium
52.15,Medium
42.95,Medium
79.81,High
85.76,High
79.42,High
78.89,High
80.51,High
80.05,High
80.08,High
77.73,High
83.25,High
82.67,High
79.36,High
80.94,High
81.98,High
83.1,High
81.18,High
82.09,High
79.21,High
76.79,High
78.51,High
83.06,High
82.93,High
80.44,High
78.3,High
80.92,High
84.99,High
84.06,High
77.95,High
79.87,High
75.64,High
76.59,High
80.56,High
80.07,High
82.89,High
83.8,High
82.5,High
83.96,High
78.36,High
76.61,High
81.5,High
88.04,High
81.07,High
76.54,High
80.73,High
84.28,High
76.9,High
82.41,High
78.17,High
83.82,High
82.36,High
80.91,High
86.0,High
78.77,High
77.94,High
85.56,High
77.37,High
86.6,High
79.88,High
76.89,High
79.99,High
80.39,High
