@relation TechNova_Employee_Attrition

@attribute EmployeeID numeric
@attribute Age numeric
@attribute Gender {Male, Female}
@attribute Department {IT, Sales, Finance, R&D, HR}
@attribute JobRole {'System Admin', 'Account Manager', 'Financial Analyst', 'Lab Technician', 'Research Scientist', 'HR Generalist', 'Recruiter', 'Software Engineer', 'Sales Executive', 'Accountant', 'Data Scientist'}
@attribute MonthlyIncome numeric
@attribute YearsAtCompany numeric
@attribute YearsSinceLastPromotion numeric
@attribute JobSatisfaction numeric
@attribute WorkLifeBalance numeric
@attribute EducationLevel numeric
@attribute TrainingHoursLastYear numeric
@attribute OverTime {Yes, No}
@attribute PerformanceRating numeric
@attribute Attrition {Yes, No}

@data
1001,50,Male,IT,'System Admin',31288,12,6,2,1,1,10,No,2,No
1002,36,Male,Sales,'Account Manager',87692,13,0,1,2,3,48,No,3,No
1003,29,Female,Finance,'Financial Analyst',100436,3,2,2,1,1,20,No,2,Yes
1004,42,Female,R&D,'Lab Technician',61403,7,0,2,1,3,65,No,3,Yes
1005,40,Female,Sales,'Account Manager',106170,4,1,3,1,5,62,No,2,No
1006,44,Female,R&D,'Research Scientist',24168,0,0,2,4,3,27,Yes,3,No
1007,32,Male,HR,'HR Generalist',64879,3,2,3,2,5,16,Yes,4,No
1008,32,Male,IT,'System Admin',74871,2,0,4,1,5,5,Yes,5,No
1009,45,Female,HR,Recruiter,47174,8,8,1,2,3,18,Yes,3,Yes
1010,57,Female,Sales,'Account Manager',125155,7,3,2,4,2,55,No,3,No
1011,45,Male,Finance,'Financial Analyst',86853,0,0,1,3,4,27,No,4,Yes
1012,24,Female,R&D,'Research Scientist',79046,2,1,2,1,1,65,No,3,Yes
1013,43,Male,IT,'Software Engineer',64678,5,4,1,2,4,37,Yes,1,Yes
1014,23,Male,R&D,'Research Scientist',41649,0,0,2,2,1,36,Yes,4,No
1015,45,Male,Sales,'Account Manager',142795,6,0,2,4,1,67,No,1,No
1016,51,Male,R&D,'Research Scientist',103668,3,0,2,1,5,48,No,4,No
1017,23,Male,IT,'System Admin',104906,0,0,2,3,1,42,Yes,3,No
1018,42,Male,Sales,'Sales Executive',111019,16,5,2,2,1,35,No,1,No
1019,54,Male,R&D,'Research Scientist',93002,1,1,2,1,3,57,No,3,No
1020,33,Female,Finance,Accountant,43803,11,3,2,3,4,12,No,4,No
1021,43,Female,Sales,'Sales Executive',45795,4,2,2,2,3,51,No,3,Yes
1022,46,Female,Sales,'Account Manager',23770,11,5,2,2,1,57,Yes,1,Yes
1023,48,Female,Finance,'Financial Analyst',26093,20,10,1,3,5,31,Yes,1,No
1024,49,Male,HR,'HR Generalist',146265,7,6,3,3,3,80,No,3,No
1025,37,Male,IT,'Data Scientist',115311,5,0,2,4,3,59,No,2,No
1026,36,Female,HR,'HR Generalist',32569,7,1,3,1,2,57,No,4,No
1027,24,Male,R&D,'Lab Technician',26190,1,1,2,1,1,55,No,4,No
1028,58,Female,Finance,Accountant,77824,2,0,2,4,5,27,Yes,3,No
1029,28,Male,HR,'HR Generalist',57070,5,0,1,2,3,0,No,2,Yes
1030,42,Female,Sales,'Account Manager',55197,11,3,4,3,3,41,Yes,1,No
1031,30,Male,R&D,'Lab Technician',17261,2,0,4,3,5,47,No,5,No
1032,39,Female,R&D,'Lab Technician',101795,5,1,1,3,1,39,No,5,No
1033,25,Male,HR,Recruiter,43933,1,1,3,2,2,62,No,3,No
1034,46,Female,HR,Recruiter,55583,11,2,4,3,3,75,No,2,No
1035,35,Male,Finance,Accountant,127082,1,0,1,3,2,71,No,2,No
1036,30,Female,IT,'Data Scientist',100371,5,2,1,4,4,79,No,4,No
1037,47,Female,HR,'HR Generalist',126032,16,0,4,2,1,3,No,1,No
1038,23,Male,HR,'HR Generalist',57604,0,0,3,1,4,37,Yes,2,No
1039,41,Female,Sales,'Account Manager',110074,1,1,1,4,4,26,Yes,5,No
1040,49,Female,R&D,'Research Scientist',88869,19,5,2,4,4,8,Yes,1,Yes
1041,28,Male,IT,'Data Scientist',20410,5,4,3,1,1,15,Yes,1,Yes
1042,29,Female,Sales,'Sales Executive',98375,3,1,3,4,1,55,No,3,No
1043,56,Female,Finance,Accountant,111055,3,0,4,2,5,75,No,2,No
1044,35,Female,Finance,Accountant,101716,4,2,4,3,2,30,No,3,No
1045,38,Male,HR,Recruiter,69245,12,2,2,2,2,13,Yes,2,Yes
1046,57,Male,HR,Recruiter,58056,14,4,1,1,5,24,No,4,No
1047,25,Female,Finance,'Financial Analyst',73557,0,0,4,1,5,33,No,3,No
1048,23,Female,HR,Recruiter,32543,0,0,4,4,4,66,No,3,No
1049,27,Male,IT,'Data Scientist',111038,1,0,3,2,5,23,No,5,No
1050,25,Female,HR,'HR Generalist',18828,1,1,4,2,3,72,No,3,No
1051,50,Male,R&D,'Lab Technician',131656,15,2,4,1,2,25,Yes,2,No
